% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.236	1	1	24	7	1	22	1431
0.211	2	1	22	2	1	28	2292
0.134	1	1	14	5	1	28	2292
0.236	2	2	24	7	1	22	1431
0.237	1	1	24	8	1	22	1431
0.146	1	1	15	7	1	28	2292
0.237	2	2	24	8	1	22	1431
0.058	1	22	6	9	1	4	105
0.058	1	18	6	9	2	2	65
0.213	2	1	22	4	1	28	2292
0.238	1	1	24	9	1	22	1431
0.135	1	1	14	6	1	28	2292
0.058	2	15	6	9	1	4	105
0.238	2	2	24	9	1	22	1431
0.058	2	14	6	9	2	8	209
0.085	1	3	9	6	1	28	749
0.085	1	1	9	6	2	28	749
0.085	1	2	9	6	3	28	749
0.239	1	1	24	10	1	22	1431
0.058	3	17	6	9	1	14	389
0.058	3	16	6	9	2	6	153
0.239	2	2	24	10	1	22	1431
0.058	6	7	6	9	1	8	137
0.24	1	1	25	1	1	22	1431
0.058	6	23	6	9	2	2	41
0.136	1	1	14	7	1	28	2292
0.058	6	13	6	9	3	4	69
0.24	2	2	25	1	1	22	1431
0.058	7	11	6	9	1	6	101
0.058	7	9	6	9	2	16	309
0.241	1	1	25	2	1	22	1431
0.058	7	10	6	9	3	12	201
0.241	2	2	25	2	1	22	1431
0.147	1	1	15	8	1	28	2292
0.058	8	20	6	9	1	10	501
0.221	2	1	23	2	1	28	2292
0.137	1	1	14	8	1	28	2292
0.242	1	1	25	3	1	22	1431
0.058	9	6	6	9	1	2	41
0.242	2	2	25	3	1	22	1431
0.086	1	3	9	7	1	28	749
0.058	10	1	6	9	1	18	999
0.223	2	1	23	4	1	28	2292
0.086	1	1	9	7	2	28	749
0.243	1	1	25	4	1	22	1431
0.086	1	2	9	7	3	28	749
0.148	1	1	15	9	1	28	2292
0.058	11	2	6	9	1	12	621
0.042	1	1	5	3	1	6	153
0.243	2	2	25	4	1	22	1431
0.042	1	2	5	3	2	4	105
0.058	12	3	6	9	1	28	2292
0.138	1	1	14	9	1	28	2292
0.058	13	4	6	9	1	28	2292
0.042	2	3	5	3	1	6	153
0.042	2	4	5	3	2	4	105
0.149	1	1	15	10	1	28	2292
0.244	1	1	25	5	1	22	1431
0.087	1	3	9	8	1	28	749
0.042	3	6	5	3	1	4	105
0.087	1	1	9	8	2	28	749
0.087	1	2	9	8	3	28	749
0.244	2	2	25	5	1	22	1431
0.036	1	1	4	7	1	28	749
0.036	10.328	1	1	33	9	1	28	2292
0.085	8	20	9	6	1	10	501
0.085	9	6	9	6	1	2	41
0.085	9	12	9	6	3	0	26
0.329	1	1	33	10	1	28	2292
0.085	10	1	9	6	1	18	999
0.321	1	1	33	2	1	28	2292
0.085	11	2	9	6	1	12	621
0.18	1	3	19	1	1	28	749
0.085	12	3	9	6	1	28	2292
0.18	1	1	19	1	2	28	749
0.18	1	2	19	1	3	28	749
0.085	13	4	9	6	1	28	2292
0.33	1	1	34	1	1	28	2292
0.322	1	1	33	3	1	28	2292
0.331	1	1	34	2	1	28	2292
0.323	1	1	33	4	1	28	2292
0.181	1	3	19	2	1	28	749
0.181	1	1	19	2	2	28	749
0.181	1	2	19	2	3	28	749
0.332	1	1	34	3	1	28	2292
0.324	1	1	33	5	1	28	2292
0.067	1	1	7	8	1	6	153
0.067	1	2	7	8	2	4	105
0.333	1	1	34	4	1	28	2292
0.325	1	1	33	6	1	28	2292
0.067	2	3	7	8	1	6	153
0.067	2	4	7	8	2	4	105
0.182	1	3	19	3	1	28	749
0.182	1	1	19	3	2	28	749
0.182	1	2	19	3	3	28	749
0.067	3	6	7	8	1	4	105
0.326	1	1	33	7	1	28	2292
0.334	1	1	34	5	1	28	2292
0.067	3	5	7	8	2	8	209
0.051	1	1	6	2	1	28	749
0.051	1	2	6	2	2	28	749
0.086	1	22	9	7	1	4	105
0.051	1	3	6	2	3	28	749
0.067	4	7	7	8	1	6	153
0.086	1	18	9	7	2	2	65
0.067	4	8	7	8	2	6	153
0.086	2	15	9	7	1	4	105
0.086	2	14	9	7	2	8	209
0.335	1	1	34	6	1	28	2292
0.051	2	5	6	2	1	28	749
0.067	5	10	7	8	1	6	153
0.051	2	4	6	2	2	28	749
0.086	3	17	9	7	1	14	389
0.067	5	9	7	8	2	6	153
0.327	1	1	33	8	1	28	2292
0.183	1	3	19	4	1	28	749
0.086	3	16	9	7	2	6	153
0.051	2	6	6	2	3	28	749
0.183	1	1	19	4	2	28	749
0.183	1	2	19	4	3	28	749
0.086	4	19	9	7	1	2	65
0.051	3	8	6	2	1	28	749
